Time,Signal
2024-05-24 19:07:09.899122,1
2024-05-24 19:07:09.905837,1
2024-05-24 19:07:09.915165,1
2024-05-24 19:07:09.923028,1
2024-05-24 19:07:09.931646,0
2024-05-24 19:07:09.940409,0
2024-05-24 19:07:09.948530,0
2024-05-24 19:07:09.956148,1
2024-05-24 19:07:09.965530,1
2024-05-24 19:07:09.973322,1
2024-05-24 19:07:09.981519,1
2024-05-24 19:07:09.990279,0
2024-05-24 19:07:09.999112,0
2024-05-24 19:07:10.007147,0
2024-05-24 19:07:10.015500,1
2024-05-24 19:07:10.023215,1
2024-05-24 19:07:10.031002,1
2024-05-24 19:07:10.039995,1
2024-05-24 19:07:10.048261,0
2024-05-24 19:07:10.056276,0
2024-05-24 19:07:10.064132,0
2024-05-24 19:07:10.072960,1
2024-05-24 19:07:10.081454,1
2024-05-24 19:07:10.090156,1
2024-05-24 19:07:10.098982,1
2024-05-24 19:07:10.107281,0
2024-05-24 19:07:10.115477,0
2024-05-24 19:07:10.123535,0
2024-05-24 19:07:10.132205,1
2024-05-24 19:07:10.140029,1
2024-05-24 19:07:10.148656,1
2024-05-24 19:07:10.157501,1
2024-05-24 19:07:10.164602,0
2024-05-24 19:07:10.172746,0
2024-05-24 19:07:10.181199,0
2024-05-24 19:07:10.189889,0
2024-05-24 19:07:10.198687,1
2024-05-24 19:07:10.207516,1
2024-05-24 19:07:10.215251,1
2024-05-24 19:07:10.223534,0
2024-05-24 19:07:10.231356,0
2024-05-24 19:07:10.239367,0
2024-05-24 19:07:10.248384,0
2024-05-24 19:07:10.257509,1
2024-05-24 19:07:10.265265,1
2024-05-24 19:07:10.273075,1
2024-05-24 19:07:10.282388,1
2024-05-24 19:07:10.290166,0
2024-05-24 19:07:10.299057,0
2024-05-24 19:07:10.307245,0
2024-05-24 19:07:10.315397,0
2024-05-24 19:07:10.323866,1
2024-05-24 19:07:10.331964,1
2024-05-24 19:07:10.340757,1
2024-05-24 19:07:10.348361,0
2024-05-24 19:07:10.357448,0
2024-05-24 19:07:10.365132,0
2024-05-24 19:07:10.373355,0
2024-05-24 19:07:10.381931,1
2024-05-24 19:07:10.390754,1
2024-05-24 19:07:10.398336,1
2024-05-24 19:07:10.407480,0
2024-05-24 19:07:10.414656,0
2024-05-24 19:07:10.423102,0
2024-05-24 19:07:10.431438,0
2024-05-24 19:07:10.440090,1
2024-05-24 19:07:10.448869,1
2024-05-24 19:07:10.457547,1
2024-05-24 19:07:10.465875,0
2024-05-24 19:07:10.473756,0
2024-05-24 19:07:10.482594,0
2024-05-24 19:07:10.489728,0
2024-05-24 19:07:10.498938,1
2024-05-24 19:07:10.507658,1
2024-05-24 19:07:10.514828,1
2024-05-24 19:07:10.524056,0
2024-05-24 19:07:10.531171,0
2024-05-24 19:07:10.540249,0
2024-05-24 19:07:10.548368,0
2024-05-24 19:07:10.557267,1
2024-05-24 19:07:10.565642,1
2024-05-24 19:07:10.573941,1
2024-05-24 19:07:10.582314,0
2024-05-24 19:07:10.589379,0
2024-05-24 19:07:10.598567,0
2024-05-24 19:07:10.607229,0
2024-05-24 19:07:10.615440,1
2024-05-24 19:07:10.624275,1
2024-05-24 19:07:10.631542,1
2024-05-24 19:07:10.640745,1
2024-05-24 19:07:10.648623,0
2024-05-24 19:07:10.657326,0
2024-05-24 19:07:10.665107,0
2024-05-24 19:07:10.685160,1
2024-05-24 19:07:10.694998,1
2024-05-24 19:07:10.703185,1
2024-05-24 19:07:10.711810,1
2024-05-24 19:07:10.719934,0
2024-05-24 19:07:10.728504,0
2024-05-24 19:07:10.736590,0
2024-05-24 19:07:10.745097,1
2024-05-24 19:07:10.752733,1
2024-05-24 19:07:10.761532,1
2024-05-24 19:07:10.769809,1
2024-05-24 19:07:10.778562,0
2024-05-24 19:07:10.786444,0
2024-05-24 19:07:10.794800,0
2024-05-24 19:07:10.803101,1
2024-05-24 19:07:10.811062,1
2024-05-24 19:07:10.820020,1
2024-05-24 19:07:10.828360,1
2024-05-24 19:07:10.836627,0
2024-05-24 19:07:10.844338,0
2024-05-24 19:07:10.852890,0
2024-05-24 19:07:10.860973,1
2024-05-24 19:07:10.870550,1
2024-05-24 19:07:10.878685,1
2024-05-24 19:07:10.887053,1
2024-05-24 19:07:10.894721,0
2024-05-24 19:07:10.902826,0
2024-05-24 19:07:10.911179,0
2024-05-24 19:07:10.920034,1
2024-05-24 19:07:10.932709,1
2024-05-24 19:07:10.940121,1
2024-05-24 19:07:10.949080,1
2024-05-24 19:07:10.957248,0
2024-05-24 19:07:10.965655,0
2024-05-24 19:07:10.973798,0
2024-05-24 19:07:10.982362,0
2024-05-24 19:07:10.990952,1
2024-05-24 19:07:10.998262,1
2024-05-24 19:07:11.008410,1
2024-05-24 19:07:11.019675,0
2024-05-24 19:07:11.028442,0
2024-05-24 19:07:11.035945,0
2024-05-24 19:07:11.044364,0
2024-05-24 19:07:11.053085,1
2024-05-24 19:07:11.061332,1
2024-05-24 19:07:11.069070,1
2024-05-24 19:07:11.078320,1
2024-05-24 19:07:11.086626,0
2024-05-24 19:07:11.094364,0
2024-05-24 19:07:11.103099,0
2024-05-24 19:07:11.111464,0
2024-05-24 19:07:11.119776,1
2024-05-24 19:07:11.128668,1
2024-05-24 19:07:11.136349,1
2024-05-24 19:07:11.145153,0
2024-05-24 19:07:11.153203,0
2024-05-24 19:07:11.162237,0
2024-05-24 19:07:11.169431,0
2024-05-24 19:07:11.178173,1
2024-05-24 19:07:11.186320,1
2024-05-24 19:07:11.195119,1
2024-05-24 19:07:11.203096,0
2024-05-24 19:07:11.210947,0
2024-05-24 19:07:11.225640,0
2024-05-24 19:07:11.236573,0
2024-05-24 19:07:11.244986,1
2024-05-24 19:07:11.252471,1
2024-05-24 19:07:11.261081,1
2024-05-24 19:07:11.269095,0
2024-05-24 19:07:11.277858,0
2024-05-24 19:07:11.286701,0
2024-05-24 19:07:11.294337,0
2024-05-24 19:07:11.302765,1
2024-05-24 19:07:11.310972,1
2024-05-24 19:07:11.320159,1
2024-05-24 19:07:11.328574,0
2024-05-24 19:07:11.335683,0
2024-05-24 19:07:11.344811,0
2024-05-24 19:07:11.353012,0
2024-05-24 19:07:11.361839,1
2024-05-24 19:07:11.370191,1
2024-05-24 19:07:11.378418,1
2024-05-24 19:07:11.387341,0
2024-05-24 19:07:11.394679,0
2024-05-24 19:07:11.402951,0
2024-05-24 19:07:11.410469,0
2024-05-24 19:07:11.420201,1
2024-05-24 19:07:11.428617,1
2024-05-24 19:07:11.436222,1
2024-05-24 19:07:11.444922,1
2024-05-24 19:07:11.453555,0
2024-05-24 19:07:11.461525,0
2024-05-24 19:07:11.469689,0
2024-05-24 19:07:11.477407,1
2024-05-24 19:07:11.486701,1
2024-05-24 19:07:11.495368,1
2024-05-24 19:07:11.502891,1
2024-05-24 19:07:11.511435,0
2024-05-24 19:07:11.519387,0
2024-05-24 19:07:11.527694,0
2024-05-24 19:07:11.536585,1
2024-05-24 19:07:11.544655,1
2024-05-24 19:07:11.553362,1
2024-05-24 19:07:11.561839,1
2024-05-24 19:07:11.570016,0
2024-05-24 19:07:11.578624,0
2024-05-24 19:07:11.586845,0
2024-05-24 19:07:11.594761,1
2024-05-24 19:07:11.603305,1
2024-05-24 19:07:11.611689,1
2024-05-24 19:07:11.619092,1
2024-05-24 19:07:11.628250,0
2024-05-24 19:07:11.636043,0
2024-05-24 19:07:11.644363,0
2024-05-24 19:07:11.652419,1
2024-05-24 19:07:11.661565,1
2024-05-24 19:07:11.669914,1
2024-05-24 19:07:11.677703,1
2024-05-24 19:07:11.686362,0
2024-05-24 19:07:11.694858,0
2024-05-24 19:07:11.702469,0
2024-05-24 19:07:11.711979,1
2024-05-24 19:07:11.719549,1
2024-05-24 19:07:11.728551,1
2024-05-24 19:07:11.735971,1
2024-05-24 19:07:11.744774,0
2024-05-24 19:07:11.752488,0
2024-05-24 19:07:11.760498,0
2024-05-24 19:07:11.769229,0
2024-05-24 19:07:11.777695,1
2024-05-24 19:07:11.786416,1
2024-05-24 19:07:11.794879,1
2024-05-24 19:07:11.803044,0
2024-05-24 19:07:11.810629,0
2024-05-24 19:07:11.819247,0
2024-05-24 19:07:11.827688,0
2024-05-24 19:07:11.836161,1
2024-05-24 19:07:11.845243,1
2024-05-24 19:07:11.853463,1
2024-05-24 19:07:11.860587,1
2024-05-24 19:07:11.870308,0
2024-05-24 19:07:11.877855,0
